
Cluster,Variable,Outcome,r,p_value
1,CG1,Subj01,-0.022309192355823973,0.8328226590837846
1,PB1,Subj01,0.09915882706385198,0.34700508097501437
2,CG2,Subj02,-0.05009612232422039,0.635333558446473
2,PB2,Subj02,0.08390822957410506,0.42648601018691124
3,CG3,Subj03,0.17062502785116596,0.10391779450735263
3,PB3,Subj03,0.1102913869617627,0.29527913796476407
4,CG4,Subj04,-0.057852345795919115,0.583848223058136
4,PB4,Subj04,0.21359719379342154,0.04091420419464227
5,CG5,Subj05,0.2911808995031684,0.004862326161524618
5,PB5,Subj05,0.16145240139428899,0.12416366924873438
0,Academic Mean,GEN_AVE,0.016764483353153684,0.8739746932992081
0,Preboard Mean,GEN_AVE,0.22430759824029273,0.031591836090813445
