synthesis_id,theme,subtheme,citation_key,paper_id,study_design,population,variables,key_finding,evidence_role,relationship_to_current_study,strength_of_evidence,limitations_or_cautions,use_in_manuscript,source_location,confidence_rating,notes
SYN-0001,Pre-board / mock examination performance as predictor of licensure success,"Mock/pre-board continuous scores predicting pass/fail (logistic regression, correlation)",Rabinoa2025MockBoardExaminationResult,doi:10.55248/gengpi.6.0525.19112,Retrospective secondary-data descriptive and predictive analysis,"205 mock board records from a review center paired with PRC licensure results (Davao City, Philippines)",Mock board continuous score (predictor); RTLE pass/fail (outcome),"Mock board scores correlated with licensure result (reported Pearson r = -0.415 interpreted as higher mock scores → higher pass probability). Logistic regression B = 0.195, Wald = 30.424, p < .001; Exp(B) = 1.215 (odds increase ~21.5% per one-point mock score).",direct_support,Directly relevant evidence that institutional mock/pre-board scores can predict individual RTLE pass/fail in a Philippine sample; provides analytic approach (logistic regression) and effect-size benchmark for modeling.,moderate,Study appears to include only review-center examinees; model included mock score only (no multivariable adjustment reported); inclusion/exclusion of repeaters and cohort years not fully specified (To be confirmed).,results_context,Tables and Methods: Pages 3-5 (Methods; Table 1–4 referenced in supplied content),High,Negative correlation sign reported likely due to coding of pass/fail variable; authors' text interprets higher mock → higher pass.
SYN-0002,Pre-board / mock examination performance as predictor of licensure success,Pre-board alignment with licensure content and timing,ChristineGouveia2024PredictiveValidityHesiRadiography,doi:10.1016/j.radi.2021.04.004,"Retrospective, multisite descriptive-correlational with multiple operationalizations and path analysis",25 U.S. radiography programs; N=1265 graduates (HESI Exit Exam between Aug 2018–Jul 2021); ARRT first-time outcomes provided (scaled scores for subset),"HESI Radiography Exit Exam scores (first, last, highest, average), program policy indicators; Outcome ARRT first-time pass/fail and scaled scores","HESI Exit Exam scores positively associated with ARRT first-time pass rates across multiple operationalizations; program policies (minimum score, required prep) indirectly associated with ARRT outcomes via improved HESI scores (mediation).",indirect_support,Provides radiography-specific evidence that standardized pre-exit exams can predict certification outcomes and that program policies may function via improving pre-board scores. Useful for designing operationalization and policy-variable measurement in RT study; jurisdictional differences require local validation.,strong,"U.S. ARRT context differs from Philippine RTLE; sample may be biased toward higher-performing, accredited programs; program-policy timing across cohorts uncertain.",review_of_related_literature,"Tables 1–7, Methods and Results pages referenced in paper summary",High,Useful methodological templates for multiple operationalizations (first/last/average/highest) of pre-board scores and for mediation/path analysis.
SYN-0003,Pre-board / mock examination performance as predictor of licensure success,Pre-board alignment with licensure content and timing,Flores2024AcademicPerformancePreboardExamination,doi:10.1111/j.1468-0009.2005.00397.x,Descriptive-correlational retrospective analysis (dentistry),49 dental alumni (graduated 2014–2018) who passed Dentistry Licensure Examination on first attempt,"GWA (predictor), pre-board comprehensive exam, pre-board practical, Dentistry Licensure Examination score (outcome)","GWA correlated positively with licensure exam (Pearson r = 0.531, p = 0.000). Pre-board comprehensive exam did not significantly correlate with licensure performance (Pearson r = -0.037, p = 0.798).",indirect_support,Demonstrates that pre-board comprehensive exams may not always predict licensure outcomes; emphasizes need to verify alignment and timing of pre-board to national exam when using pre-board scores as predictors in RT.,moderate,"Small, single-site sample and inclusion only of first-time passers (selection bias); limited pre-board practical data.",review_of_related_literature,Tables 8–10 (Pages 5–6) per supplied summary,High,Illustrates mixed evidence and potential selection bias in pre-board predictive studies.
SYN-0004,Institutional periodic assessments as predictors,Monthly/periodic internal exams predicting comprehensive/institutional outcomes,Ampaso2022PredictingRevalidationExaminationPerformance,doi:10.11594/ijmaber.03.03.11,Exploratory descriptive-correlational with multiple regression and SEM (census of cohort),"26 RT interns (batch 2020–2021) at single HEI, Iligan City, Philippines","Monthly exam scores (6 subject areas), case-study scores, Grit-S (predictors); Revalidation exam components (oral, practical, written) and total (outcome)","Monthly exam scores strongly correlated with revalidation scores (r = 0.904, p < 0.001). In regression monthly exam score was significant (unstandardized β = 1.010, p < 0.001) with R² = 0.818. Case-study and grit not significant predictors.",direct_support,Supports inclusion of frequent institutional written exams or pre-board-type periodic assessments as strong predictors of institutional comprehensive exam performance; indicates a large effect in this sample though the outcome differs from national RTLE.,moderate,Small single-site sample (n=26); outcome is institutional revalidation exam not the national RTLE; SEM stability limited by sample size; generalizability limited.,methodology_context,"Correlation and regression tables: Tables 5–6, SEM fit: Tables 9–14 per supplied summary",High,"Useful for argument that aligned periodic assessments can explain large proportions of variance in institutional high-stakes tests, but mapping to RTLE must be empirically verified."
SYN-0005,Pre-board / mock examination performance as predictor of licensure success,Large multi-program discriminant analyses including mock board as predictor,Garcia2026PredictingSuccessProfessionalLicensure,doi:10.47772/IJRISS.2025.91200240,Quantitative predictive-correlational; discriminant function analysis with cross-validation,933 examinees across five programs at University of Mindanao (2020–2025) — multiple degree programs (not RT-only),"Nine predictors including fluid intelligence, communication, reading, math, professional knowledge, internship performance, mock board performance, study duration, academic difficulty; Outcome: PRC pass/fail",DFA significant (Wilks’ Λ = 0.430; canonical r = 0.755; r² = 0.57). Classification accuracy original 88.4% (cross-validated 88.0%). Mock board and professional knowledge were among the strongest discriminators (unstandardized coefficients .053 and .074 respectively).,indirect_support,Illustrates a large-sample Philippines-based example where mock/pre-board and professional-course averages strongly discriminated passers from non-passers; methodological model (DFA with cross-validation) applicable to RT study though variable operationalization must be re-estimated for RT-specific data.,moderate,Multi-program sample includes non-RT disciplines; operational mapping to RT professional courses and PRC RTLE specifics requires confirmation; cross-validation method details To be confirmed.,methodology_context,Tables 2–8 and appendices per supplied summary (Pages 6–11 referenced),High,"Provides operational definitions and supports including contextual covariates (study duration, repeats) in predictive models."
SYN-0006,Overall academic performance and professional-course grades as predictors,GWA / professional-course averages predicting licensure,Flores2024AcademicPerformancePreboardExamination,doi:10.1111/j.1468-0009.2005.00397.x,Descriptive-correlational retrospective (dentistry),49 dental alumni who passed Dentistry Licensure Examination on first attempt,"GWA, pre-board comprehensive/practical, licensure score","GWA positively correlated with licensure exam score (Pearson r = 0.531, p = 0.000); GWA also correlated with pre-board comprehensive (r = 0.349, p = 0.014).",indirect_support,Supports including undergraduate GWA as a candidate predictor for RTLE; provides effect-size precedent from an allied-health Philippine context.,moderate,Sample limited to first-time passers and small single-site cohort; discipline differs from RT.,review_of_related_literature,Tables 8–9 per supplied summary (Pages 5–6),High,Serves as supportive allied-health precedent for GWA predictive utility.
SYN-0007,Overall academic performance and professional-course grades as predictors,Operationalization and measurement of GWA/professional knowledge,Garcia2026PredictingSuccessProfessionalLicensure,doi:10.47772/IJRISS.2025.91200240,Large-sample discriminant analysis (see above),933 examinees across multiple programs,Professional knowledge = arithmetic mean of final grades in professional education courses; GWA-like measures and cognitive tests also included,Professional knowledge had the largest unstandardized coefficient in discriminant function and pronounced mean differences between passers and non-passers; demonstrates importance of defining professional-course aggregate.,indirect_support,Offers an operational template for computing professional-course averages from institutional records for inclusion in RT predictive models.,moderate,Mapping of specific professional-course lists to RT curriculum must be confirmed; grading scales may differ across institutions.,methodology_context,Research Instrument subsection; Tables 2 and 7 per supplied summary,High,Useful for variable construction guidance.
SYN-0008,Clinical / internship / practicum performance,Practicum/internship ratings as predictors,Garcia2026PredictingSuccessProfessionalLicensure,doi:10.47772/IJRISS.2025.91200240,Discriminant function analysis in institutional dataset,933 examinees (multi-program),Internship performance (final rating) included as predictor,Internship performance had a positive but small unstandardized coefficient (.044) and small mean differences between passers and non-passers—suggesting limited discriminatory power relative to professional-course averages and mock board scores.,indirect_support,Indicates inclusion of clinical performance is appropriate but researchers should check for ceiling effects and restricted range in RT practicum ratings when evaluating predictive value.,moderate,High mean internship ratings for both groups may reduce discriminatory power; RT data may differ.,review_of_related_literature,Table 2 and Table 7 per supplied summary (Pages 6–10),High,Warns about restricted range issues.
SYN-0009,"Non-cognitive, attitudinal, and readiness measures",Grit and other non-cognitive traits,Ampaso2022PredictingRevalidationExaminationPerformance,doi:10.11594/ijmaber.03.03.11,Census sample correlational and regression analyses,26 RT interns (Iligan City),Grit-S (Grit) as predictor; revalidation exam scores outcome,"Grit had no significant correlation with revalidation exam scores (r = -0.043, p = 0.833) and was not a significant predictor in regression.",direct_support,Suggests grit may not be a strong individual predictor of written comprehensive exam outcomes in small RT samples; may still be considered for broader multi-variable models but expect small effects.,limited,Small sample size limits power to detect small effects.,review_of_related_literature,Grit descriptive and regression tables: Pages 7–9 per supplied summary,High,Example of a non-cognitive predictor with null finding in RT-specific sample.
SYN-0010,"Non-cognitive, attitudinal, and readiness measures",Self-reported preparedness and attitude toward licensure,Gallardo2025AttitudePreparednessChallengesRadiologic,doi:10.70838/pemj.350306,Descriptive-correlational cross-sectional survey,"54 RT graduates, Emilio Aguinaldo College - Cavite (batch 2024)","Attitude, preparedness, perceived challenges (self-report); no objective academic/pre-board/licensure outcomes reported","Attitude correlated moderately with preparedness (r = .562, p = .000); preparedness inversely correlated with perceived challenges (r = -0.290, p = .033). No objective academic or licensure outcomes reported in the study.",background_context,Provides context on graduates' self-perceived readiness and challenges; useful for descriptive background and for identifying potential non-academic covariates but cannot be used as evidence for prediction of licensure outcomes.,limited,Self-report measures only; absence of objective outcomes explicitly noted.,background_only,Tables 1–6 and Tables 7 (interventions) per supplied summary (Pages 3–8),High,Useful for programmatic intervention ideas but not predictive evidence.
