
,count,mean,std,min,25%,50%,75%,max
CG1,92.0,87.59627329192546,4.21099750363537,58.57142857142857,85.75,87.57142857142857,90.14285714285714,94.0
CG2,92.0,85.7463768115942,4.789174189194864,52.666666666666664,83.0,86.5,89.0,92.0
CG3,92.0,86.71135265700482,4.250373978058885,78.5,82.70833333333333,87.25,90.16666666666667,93.94444444444444
CG4,92.0,86.18925831202046,8.191794925058904,27.352941176470587,84.60294117647058,88.26470588235294,89.80882352941177,93.47058823529412
CG5,92.0,86.41351606805293,2.352144235242531,82.3913043478261,84.83695652173913,85.71739130434783,88.16304347826087,92.82608695652173
PB1,92.0,52.68478260869565,12.603792685620936,29.0,42.0,54.0,60.25,86.0
PB2,92.0,56.93478260869565,12.587106911112741,31.0,47.0,60.0,67.0,88.0
PB3,92.0,49.630434782608695,15.458357667841325,24.0,35.0,50.0,63.0,80.0
PB4,92.0,64.3804347826087,17.168103821327378,33.0,51.0,60.0,82.0,94.0
PB5,92.0,59.55434782608695,21.503571965194592,25.0,43.0,52.0,84.5,97.0
Subj01,92.0,68.41304347826087,10.95560689800357,50.0,62.0,67.0,77.75,90.0
Subj02,92.0,77.51086956521739,9.500138304623551,48.0,74.0,78.0,84.0,93.0
Subj03,92.0,73.09782608695652,12.029322948810732,44.0,66.0,77.5,81.5,92.0
Subj04,92.0,80.31521739130434,7.428678239887775,60.0,76.0,80.0,86.25,94.0
Subj05,92.0,75.93478260869566,13.111361022575407,42.0,67.5,81.0,84.5,95.0
GEN_AVE,92.0,75.05434782608697,9.318920998752175,57.6,68.2,76.0,82.85000000000001,91.6
